size,density,noise,neg,mean_abs_diff
100,0.2,0.0,False,141.83636363636364
100,0.2,0.0,True,122.20969696969696
100,0.2,0.1,False,213.8289898989899
100,0.2,0.1,True,134.47902133252452
100,0.2,0.5,False,368.2047474747475
100,0.2,0.8,False,447.1819191919192
100,0.5,0.0,False,81.18252525252525
100,0.5,0.0,True,80.3540404040404
100,0.5,0.1,False,109.71222222222222
100,0.5,0.5,False,236.22757575757575
100,0.5,0.8,False,259.75555555555553
100,0.8,0.0,False,96.08727272727273
100,0.8,0.0,True,55.872727272727275
100,0.8,0.1,False,92.45949494949495
100,0.8,0.5,False,238.85828282828282
100,0.8,0.8,False,309.7379797979798
100,1.0,0.0,False,43.98444444444444
100,1.0,0.0,True,70.15373737373737
100,1.0,0.1,False,75.70818181818181
100,1.0,0.5,False,147.9018181818182
100,1.0,0.8,False,183.32767676767676
